region_league_id,region,league_name,url
BANGLADESH_BFL___ROUND_6,BANGLADESH,BFL - ROUND 6,
TURKEY_1._LIG___ROUND_17,TURKEY,1. LIG - ROUND 17,
KENYA_PREMIER_LEAGUE___ROUND_13,KENYA,PREMIER LEAGUE - ROUND 13,
SERBIA_MOZZART_BET_PRVA_LIGA___ROUND_22,SERBIA,MOZZART BET PRVA LIGA - ROUND 22,
SEYCHELLES_PREMIER_LEAGUE___ROUND_7,SEYCHELLES,PREMIER LEAGUE - ROUND 7,
LEBANON_PREMIER_LEAGUE___ROUND_9,LEBANON,PREMIER LEAGUE - ROUND 9,
SAUDI_ARABIA_DIVISION_1___ROUND_11,SAUDI ARABIA,DIVISION 1 - ROUND 11,
THAILAND_THAI_LEAGUE_1___ROUND_15,THAILAND,THAI LEAGUE 1 - ROUND 15,
ISRAEL_LEUMIT_LEAGUE___ROUND_15,ISRAEL,LEUMIT LEAGUE - ROUND 15,
DR_CONGO_LIGUE_1___ROUND_5,DR CONGO,LIGUE 1 - ROUND 5,
ITALY_PRIMAVERA_1___ROUND_15,ITALY,PRIMAVERA 1 - ROUND 15,
RWANDA_PREMIER_LEAGUE,RWANDA,PREMIER LEAGUE,
UGANDA_PREMIER_LEAGUE___ROUND_10,UGANDA,PREMIER LEAGUE - ROUND 10,
WORLD_CLUB_FRIENDLY,WORLD,CLUB FRIENDLY,
UKRAINE_PREMIER_LEAGUE___ROUND_16,UKRAINE,PREMIER LEAGUE - ROUND 16,
REPUBLIC_OF_THE_CONGO_LIGUE_1___ROUND_14,REPUBLIC OF THE CONGO,LIGUE 1 - ROUND 14,
DR_CONGO_LIGUE_1___ROUND_9,DR CONGO,LIGUE 1 - ROUND 9,
QATAR_QSL_CUP___ROUND_9,QATAR,QSL CUP - ROUND 9,
GHANA_DIVISION_ONE_LEAGUE___ROUND_11,GHANA,DIVISION ONE LEAGUE - ROUND 11,
BURKINA_FASO_PREMIER_LEAGUE___ROUND_13,BURKINA FASO,PREMIER LEAGUE - ROUND 13,
ROMANIA_LIGA_2___ROUND_17,ROMANIA,LIGA 2 - ROUND 17,
GHANA_PREMIER_LEAGUE___ROUND_14,GHANA,PREMIER LEAGUE - ROUND 14,
NIGER_SUPER_LIGUE___ROUND_9,NIGER,SUPER LIGUE - ROUND 9,
MALI_PREMIERE_DIVISION___ROUND_4,MALI,PREMIERE DIVISION - ROUND 4,
BURUNDI_PRIMUS_LEAGUE___ROUND_8,BURUNDI,PRIMUS LEAGUE - ROUND 8,
AUSTRIA_2._LIGA___ROUND_17,AUSTRIA,2. LIGA - ROUND 17,
GERMANY_2._BUNDESLIGA___ROUND_16,GERMANY,2. BUNDESLIGA - ROUND 16,
GERMANY_BUNDESLIGA_WOMEN___ROUND_13,GERMANY,BUNDESLIGA WOMEN - ROUND 13,
MALTA_PREMIER_LEAGUE___FIRST_STAGE___PLAY_OUT___ROUND_13,MALTA,PREMIER LEAGUE - FIRST STAGE - PLAY OUT - ROUND 13,
GERMANY_3._LIGA___ROUND_18,GERMANY,3. LIGA - ROUND 18,
SPAIN_PRIMERA_RFEF___GROUP_2___ROUND_16,SPAIN,PRIMERA RFEF - GROUP 2 - ROUND 16,
PORTUGAL_LIGA_PORTUGAL_2___ROUND_14,PORTUGAL,LIGA PORTUGAL 2 - ROUND 14,
FRANCE_NATIONAL___ROUND_16,FRANCE,NATIONAL - ROUND 16,
ROMANIA_SUPERLIGA___ROUND_20,ROMANIA,SUPERLIGA - ROUND 20,
BELGIUM_CHALLENGER_PRO_LEAGUE___ROUND_17,BELGIUM,CHALLENGER PRO LEAGUE - ROUND 17,
ENGLAND_PREMIER_LEAGUE_CUP,ENGLAND,PREMIER LEAGUE CUP,
FRANCE_LIGUE_2___ROUND_17,FRANCE,LIGUE 2 - ROUND 17,
SWITZERLAND_CHALLENGE_LEAGUE___ROUND_17,SWITZERLAND,CHALLENGE LEAGUE - ROUND 17,
NETHERLANDS_EERSTE_DIVISIE___ROUND_20,NETHERLANDS,EERSTE DIVISIE - ROUND 20,
