region_league,position,team_name,team_id,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,last_updated,url
TURKEY - 1. LIG - ROUND 17,1,Pendikspor,dQVdH97o,5,2,29,18,29,11,18,32,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
TURKEY - 1. LIG - ROUND 17,2,Amedspor,EHdgkFvm,2,4,37,13,37,24,13,32,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
TURKEY - 1. LIG - ROUND 17,3,Erokspor,rPvKSntq,4,3,39,21,39,18,21,31,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
TURKEY - 1. LIG - ROUND 17,4,Bodrumspor,tAyqUIUd,3,4,36,21,36,15,21,30,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
TURKEY - 1. LIG - ROUND 17,5,Corum,0vne21BK,4,4,25,7,25,18,7,28,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
TURKEY - 1. LIG - ROUND 17,6,Igdir FK,pQPEA10Q,4,4,27,5,27,22,5,28,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
TURKEY - 1. LIG - ROUND 17,7,Erzurumspor,xQZ3CpVE,8,2,28,13,28,15,13,26,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
TURKEY - 1. LIG - ROUND 17,8,Bandirmaspor,8rZvLOl2,5,4,20,6,20,14,6,26,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
TURKEY - 1. LIG - ROUND 17,9,Serik Spor,A9gDc83I,4,5,21,-2,21,23,-2,25,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
TURKEY - 1. LIG - ROUND 17,10,Boluspor,WpwUHfZ0,5,5,25,8,25,17,8,23,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
TURKEY - 1. LIG - ROUND 17,11,Keciorengucu,tOinx4lk,6,5,25,6,25,19,6,21,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
TURKEY - 1. LIG - ROUND 17,12,Vanspor FK,6o783Ei5,6,5,20,2,20,18,2,21,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
TURKEY - 1. LIG - ROUND 17,13,Sivasspor,OvblvwLr,5,6,20,3,20,17,3,20,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
TURKEY - 1. LIG - ROUND 17,14,Sakaryaspor,2Jzfymql,4,7,28,-6,28,34,-6,19,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
TURKEY - 1. LIG - ROUND 17,15,Istanbulspor AS,bwbQIDxd,9,4,17,-8,17,25,-8,18,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
TURKEY - 1. LIG - ROUND 17,16,Sariyer,fNtKGmxb,2,9,16,-6,16,22,-6,17,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
TURKEY - 1. LIG - ROUND 17,17,Manisa FK,K0zmTxp3,4,8,23,-6,23,29,-6,16,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
TURKEY - 1. LIG - ROUND 17,18,Umraniyespor,tvvIEKkc,3,9,13,-13,13,26,-13,15,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
TURKEY - 1. LIG - ROUND 17,19,Hatayspor,ENFkH8NH,5,11,15,-27,15,42,-27,5,2025-12-12T12:23:44.607825,https://www.flashscore.com/football/turkey/1-lig/
