team_id,team_name,region_league,team_url
b7edWal7,Istaravshan,TAJIKISTAN - Vysshaya Liga,https://www.flashscore.com/team/istaravshan/b7edWal7/
hQRUXPon,Istiqlol Dushanbe,TAJIKISTAN - Vysshaya Liga,https://www.flashscore.com/team/istiqlol-dushanbe/hQRUXPon/
rqPuN6y1,North Macedonia U18,WORLD - Friendly International,https://www.flashscore.com/team/montenegro/rqPuN6y1/
nkVwxv5O,Montenegro U18,WORLD - Friendly International,https://www.flashscore.com/team/north-macedonia/nkVwxv5O/
j5JKOfug,Anse Reunion,SEYCHELLES - Premier League,https://www.flashscore.com/team/anse-reunion/j5JKOfug/
ELM3WgvF,Foresters FC,SEYCHELLES - Premier League,https://www.flashscore.com/team/foresters/ELM3WgvF/
htcj68ms,Bashundara Kings,BANGLADESH - BFL,https://www.flashscore.com/team/bashundara-kings/htcj68ms/
6gHbafQi,Mohammedan,BANGLADESH - BFL,https://www.flashscore.com/team/mohammedan/6gHbafQi/
8AShqI0G,Adana Demirspor,TURKEY - 1. Lig,https://www.flashscore.com/team/adanademirspor/8AShqI0G/
WpwUHfZ0,Boluspor,TURKEY - 1. Lig,https://www.flashscore.com/team/boluspor/WpwUHfZ0/
KScUSuRF,APS Bomet,KENYA - Premier League,https://www.flashscore.com/team/aps-bomet/KScUSuRF/
WfxlGWpg,Posta Rangers,KENYA - Premier League,https://www.flashscore.com/team/posta-rangers/WfxlGWpg/
AuYxVndl,Bandari,KENYA - Premier League,https://www.flashscore.com/team/bandari/AuYxVndl/
GU9jbyMo,Gor Mahia,KENYA - Premier League,https://www.flashscore.com/team/mahia/GU9jbyMo/
0zjHr0CN,Bidco United,KENYA - Premier League,https://www.flashscore.com/team/bidco-united/0zjHr0CN/
lzS777jQ,Mathare Utd.,KENYA - Premier League,https://www.flashscore.com/team/mathare-united/lzS777jQ/
OfdPtDuK,Kakamega Homeboyz,KENYA - Premier League,https://www.flashscore.com/team/kakamega-homeboyz/OfdPtDuK/
YXH9gwV9,Shabana,KENYA - Premier League,https://www.flashscore.com/team/shabana/YXH9gwV9/
ADvRvuVg,Usce,SERBIA - Mozzart Bet Prva Liga,https://www.flashscore.com/team/dinamo-jug/ADvRvuVg/
fNA8iNmq,Dinamo Jug,SERBIA - Mozzart Bet Prva Liga,https://www.flashscore.com/team/usce/fNA8iNmq/
EuDj3M54,Lightstars,SEYCHELLES - Premier League,https://www.flashscore.com/team/cote-d-or/EuDj3M54/
z1fAInfF,Cote d'Or,SEYCHELLES - Premier League,https://www.flashscore.com/team/lightstars/z1fAInfF/
drd0zlZS,Chonburi,THAILAND - Thai League 1,https://www.flashscore.com/team/chonburi/drd0zlZS/
pQqbqyUn,Kanchanaburi,THAILAND - Thai League 1,https://www.flashscore.com/team/kanchanaburi/pQqbqyUn/
bgzfqXd1,Bourj FC,LEBANON - Premier League,https://www.flashscore.com/team/bourj/bgzfqXd1/
EgPzlxzo,Racing,LEBANON - Premier League,https://www.flashscore.com/team/racing/EgPzlxzo/
OImkpk5m,Tadamon,LEBANON - Premier League,https://www.flashscore.com/team/nejmeh-sc/OImkpk5m/
hWEObasb,Nejmeh SC,LEBANON - Premier League,https://www.flashscore.com/team/tadamon/hWEObasb/
KYVyZZDD,Al Jandal,SAUDI ARABIA - Division 1,https://www.flashscore.com/team/al-jandal/KYVyZZDD/
r1tdCVJC,Al Jubail,SAUDI ARABIA - Division 1,https://www.flashscore.com/team/al-jubail/r1tdCVJC/
lnEqnhJf,Abha,SAUDI ARABIA - Division 1,https://www.flashscore.com/team/abha/lnEqnhJf/
OC8T8zk3,Al-Ula,SAUDI ARABIA - Division 1,https://www.flashscore.com/team/al-ula/OC8T8zk3/
rgPE61eo,Don Bosco,DR CONGO - Ligue 1,https://www.flashscore.com/team/don-bosco/rgPE61eo/
bi65l4LN,Tshikas,DR CONGO - Ligue 1,https://www.flashscore.com/team/tshikas/bi65l4LN/
2m3GbPH2,H. Raanana,ISRAEL - Leumit League,https://www.flashscore.com/team/h-raanana/2m3GbPH2/
GGEeSGq9,Nof Hagalil,ISRAEL - Leumit League,https://www.flashscore.com/team/nof-hagalil/GGEeSGq9/
29PRngvi,Hapoel Hadera,ISRAEL - Leumit League,https://www.flashscore.com/team/hapoel-hadera/29PRngvi/
xdPX7jSa,Hap. Ramat Gan,ISRAEL - Leumit League,https://www.flashscore.com/team/hapoel-ramat-gan/xdPX7jSa/
hjn53BuM,Maccabi Jaffa,ISRAEL - Leumit League,https://www.flashscore.com/team/hapoel-kfar-shalem/hjn53BuM/
rwgzOnGd,Hapoel Kfar Shalem,ISRAEL - Leumit League,https://www.flashscore.com/team/maccabi-jaffa/rwgzOnGd/
nNbDAhrs,Maccabi Petah Tikva,ISRAEL - Leumit League,https://www.flashscore.com/team/h-ironi-rishon/nNbDAhrs/
tzLcThTm,H. Ironi Rishon,ISRAEL - Leumit League,https://www.flashscore.com/team/maccabi-petah-tikva/tzLcThTm/
zsnMjzSE,MS Kafr Qasim,ISRAEL - Leumit League,https://www.flashscore.com/team/ironi-modiin/zsnMjzSE/
KtEMhbTp,Ironi Modiin,ISRAEL - Leumit League,https://www.flashscore.com/team/ms-kafr-qasim/KtEMhbTp/
UTnkO11b,Bologna U20,ITALY - Primavera 1,https://www.flashscore.com/team/ac-milan/UTnkO11b/
xx5LOEnH,AC Milan U20,ITALY - Primavera 1,https://www.flashscore.com/team/bologna/xx5LOEnH/
xxIkEOUS,Nairobi United,KENYA - Premier League,https://www.flashscore.com/team/muranga/xxIkEOUS/
6m8PWkft,Muranga,KENYA - Premier League,https://www.flashscore.com/team/nairobi-united/6m8PWkft/
4zFRxHeP,Police,RWANDA - Premier League,https://www.flashscore.com/team/gasogi-united/4zFRxHeP/
lQa4Wj7A,Gasogi United,RWANDA - Premier League,https://www.flashscore.com/team/police/lQa4Wj7A/
W0aMZOUR,Kitara,UGANDA - Premier League,https://www.flashscore.com/team/kitara/W0aMZOUR/
hj8xMlGq,Maroons,UGANDA - Premier League,https://www.flashscore.com/team/maroons/hj8xMlGq/
Y35Jer59,OLS Oulu (Fin),WORLD - Club Friendly,https://www.flashscore.com/team/ac-oulu/Y35Jer59/
Odzqm8ie,AC Oulu (Fin),WORLD - Club Friendly,https://www.flashscore.com/team/ols-oulu/Odzqm8ie/
nmVantfF,Oleksandriya,UKRAINE - Premier League,https://www.flashscore.com/team/kudrivka/nmVantfF/
nHJnN4vh,Kudrivka,UKRAINE - Premier League,https://www.flashscore.com/team/oleksandriya/nHJnN4vh/
2BaHDFR2,Renaissance,DR CONGO - Ligue 1,https://www.flashscore.com/team/as-maniema/2BaHDFR2/
v9rrw7PE,Maniema,DR CONGO - Ligue 1,https://www.flashscore.com/team/oc-renaissance/v9rrw7PE/
WIBosHcG,JS Talangai,REPUBLIC OF THE CONGO - Ligue 1,https://www.flashscore.com/team/js-talangai/WIBosHcG/
8ObpuJwQ,Juk,REPUBLIC OF THE CONGO - Ligue 1,https://www.flashscore.com/team/juk/8ObpuJwQ/
SWo1QmYO,Al Rayyan,QATAR - QSL Cup,https://www.flashscore.com/team/al-rayyan/SWo1QmYO/
AkENgqwB,Al-Sadd,QATAR - QSL Cup,https://www.flashscore.com/team/al-sadd/AkENgqwB/
KxTOlfF9,Bel Air,SEYCHELLES - Premier League,https://www.flashscore.com/team/bel-air/KxTOlfF9/
OjFGAutG,Saint Louis,SEYCHELLES - Premier League,https://www.flashscore.com/team/saint-louis/OjFGAutG/
A7YIBlI0,Al Bukiryah,SAUDI ARABIA - Division 1,https://www.flashscore.com/team/al-bukiryah/A7YIBlI0/
xYXsXyUh,Al Taee,SAUDI ARABIA - Division 1,https://www.flashscore.com/team/al-taee/xYXsXyUh/
Q9bvX5Vr,ADVSA,GHANA - Division One League,https://www.flashscore.com/team/attram-de-visser/Q9bvX5Vr/
lQMihCnJ,Port City,GHANA - Division One League,https://www.flashscore.com/team/port-city/lQMihCnJ/
AkfkSITk,KAC Soccer,GHANA - Division One League,https://www.flashscore.com/team/kac-soccer/AkfkSITk/
lbnSFL5N,Legon Cities,GHANA - Division One League,https://www.flashscore.com/team/legon-cities/lbnSFL5N/
zDpdICPp,Torino U20,ITALY - Primavera 1,https://www.flashscore.com/team/genoa/zDpdICPp/
OGVExYGG,Genoa U20,ITALY - Primavera 1,https://www.flashscore.com/team/torino/OGVExYGG/
pjWljATh,Salitas,BURKINA FASO - Premier League,https://www.flashscore.com/team/aje-bobo-dioulasso/pjWljATh/
t2Zj23Dg,AJEB,BURKINA FASO - Premier League,https://www.flashscore.com/team/salitas/t2Zj23Dg/
fBqR7wGD,USFA,BURKINA FASO - Premier League,https://www.flashscore.com/team/asf-dioulasso/fBqR7wGD/
vumapfhE,ASF Dioulasso,BURKINA FASO - Premier League,https://www.flashscore.com/team/usfa/vumapfhE/
Ecy3FIOl,Heart of Lions,GHANA - Premier League,https://www.flashscore.com/team/aduana-stars/Ecy3FIOl/
pI7Ye272,Aduana,GHANA - Premier League,https://www.flashscore.com/team/heart-of-lions/pI7Ye272/
prfxAf0i,Sepsi Sf. Gheorghe,ROMANIA - Liga 2,https://www.flashscore.com/team/concordia/prfxAf0i/
IDsPIcMA,Concordia,ROMANIA - Liga 2,https://www.flashscore.com/team/sepsi/IDsPIcMA/
U9x3eSLp,Discoveries,LIBERIA - LFA First Division,https://www.flashscore.com/team/discoveries/U9x3eSLp/
zZAg2iAM,Paynesville,LIBERIA - LFA First Division,https://www.flashscore.com/team/paynesville/zZAg2iAM/
vDxeMIAO,Freeport,LIBERIA - LFA First Division,https://www.flashscore.com/team/black-man-warrior/vDxeMIAO/
beMUgZJG,Black Man Warrior,LIBERIA - LFA First Division,https://www.flashscore.com/team/freeport/beMUgZJG/
E5wyuebe,LPRC Oiler,LIBERIA - LFA First Division,https://www.flashscore.com/team/downtown/E5wyuebe/
jsNlszut,Downtown,LIBERIA - LFA First Division,https://www.flashscore.com/team/lprc-oiler/jsNlszut/
UZZqsih6,Bougouba,MALI - Premiere Division,https://www.flashscore.com/team/bougouba/UZZqsih6/
ETo42tph,Derby Academie,MALI - Premiere Division,https://www.flashscore.com/team/derby-academie/ETo42tph/
IPwzmuAU,Foot Elite,MALI - PREMIERE DIVISION - ROUND 4,https://www.flashscore.com/team/foot-elite/IPwzmuAU/
zVdVFWb8,Onze Createurs,MALI - PREMIERE DIVISION - ROUND 4,https://www.flashscore.com/team/onze-createurs/zVdVFWb8/
jL9qWdNF,AS ZAM,NIGER - Super Ligue,https://www.flashscore.com/team/as-zam/jL9qWdNF/
hjxMLTIt,Renaissance,NIGER - Super Ligue,https://www.flashscore.com/team/renaissance/hjxMLTIt/
